app_id,app_name,finding_id,flaw_id,flaw_name,business_unit,cve_id,cve_name,cwe_id,category_name,cwe_description,availability_impact,confidentiality_impact,integrity_impact,nvd_cvss2_score,nvd_cvss3_score,description,found_date,last_found_date,grace_period_expiry_date,status,scan_type,policy_rule_passed,policy_sandbox,source_file_line,attack_vector,mitigation_status,module_name,latest_resolution_status,remediation_effort,resolved_date,fixed_date,severity,filename,static_local_path,component_file_path,local_path,mitigation_last_accepted_date,mitigation_last_accepted_username,mitigation_last_accepted_comment,mitigation_last_proposed_date,mitigation_last_proposed_comment,mitigation_last_proposed_username,mitigation_last_rejected_date,mitigation_last_rejected_comment,mitigation_last_rejected_username,exploitability,flaw_age,static_source_function_name,source_function_name,published_ts,latest_published_date,library_first_found,resolution_status,resolution,reopened_date,original_scan_id,project_name,project_branch,component_name,dependency_type,product_license_info,component_version,component_id,library_vendor,library_description,vulnerability_title,nvd_cvss3_vector_string,library_release_date,library_latest_version,library_latest_release_date,fixed_library_version,library_latest_safe_version,has_vulnerable_methods,vulnerable_method_info,vulnerable_links,last_updated_date,sandbox_id,latest_scan_id,sca_agent_issue,sca_issue_type
1840724,VeraDemo-GithubApp,1.46121E+12,171,Insertion of Sensitive Information Into Sent Data,Not Specified,,,201,Information Leakage,"The code transmits data to another actor, but a portion of the data includes sensitive information that should not be accessible to that actor.",,,,,,Information Exposure Through Sent Data,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,520,processBlabbers,Not Mitigated,verademo.veracodegen.war,NONE,2,,,2,BlabController.java,com/veracode/verademo/controller/BlabController.java,,com/veracode/verademo/controller/BlabController.java,,,,,,,,,,-1,1,processBlabbers,processBlabbers,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,191,External Initialization of Trusted Variables or Data Stores,Not Specified,,,454,Untrusted Initialization,The product initializes critical internal variables or data stores using inputs that can be modified by untrusted actors.,,,,,,External Initialization of Trusted Variables or Data Stores,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,83,java.lang.Runtime.exec,Not Mitigated,verademo.veracodegen.war,NONE,4,,,0,ToolsController.java,com/veracode/verademo/controller/ToolsController.java,,com/veracode/verademo/controller/ToolsController.java,,,,,,,,,,0,1,fortune,fortune,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,178,Generation of Error Message Containing Sensitive Information,Not Specified,,,209,Information Leakage,"The product generates an error message that includes sensitive information about its environment, users, or associated data.",,,,,,Information Exposure Through an Error Message,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,65,javax.servlet.jsp.JspWriter.print,Not Mitigated,verademo.veracodegen.war,NONE,1,,,2,blabbers.jsp,WEB-INF/views/blabbers.jsp,,WEB-INF/views/blabbers.jsp,,,,,,,,,,0,1,_jspService,_jspService,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,187,Improper Resource Shutdown or Release,Not Specified,,,404,Code Quality,The product does not release or incorrectly releases a resource before it is made available for re-use.,,,,,,Improper Resource Shutdown or Release,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,478,java.sql.Connection.createStatement,Not Mitigated,verademo.veracodegen.war,NONE,2,,,0,UserController.java,com/veracode/verademo/controller/UserController.java,,com/veracode/verademo/controller/UserController.java,,,,,,,,,,0,1,showProfile,showProfile,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,9,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Not Specified,,,89,SQL Injection,"The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component.",,,,,,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),11:06.0,11:06.0,11:06.0,Open,Static Analysis,no,Policy,467,java.sql.PreparedStatement.executeQuery,Not Mitigated,verademo.veracodegen.war,NONE,3,,,4,BlabController.java,com/veracode/verademo/controller/BlabController.java,,com/veracode/verademo/controller/BlabController.java,,,,,,,,,,0,1,showBlabbers,showBlabbers,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,1,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),Not Specified,,,78,Command or Argument Injection,"The product constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component.",,,,,,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),11:06.0,11:06.0,11:06.0,Open,Static Analysis,no,Policy,53,java.lang.Runtime.exec,Not Mitigated,verademo.veracodegen.war,NONE,3,,,5,ToolsController.java,com/veracode/verademo/controller/ToolsController.java,,com/veracode/verademo/controller/ToolsController.java,,,,,,,,,,0,1,ping,ping,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,130,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),Not Specified,,,80,Cross-Site Scripting (XSS),"The product receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special characters such as ""<"", "">"", and ""&"" that could be interpreted as web-scripting elements when they are sent to a downstream component that processes web pages.",,,,,,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),11:06.0,11:06.0,11:06.0,Open,Static Analysis,no,Policy,103,javax.servlet.jsp.JspWriter.print,Not Mitigated,verademo.veracodegen.war,NONE,3,,,3,blabbers.jsp,WEB-INF/views/blabbers.jsp,,WEB-INF/views/blabbers.jsp,,,,,,,,,,0,1,_jspService,_jspService,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,184,Improper Resource Shutdown or Release,Not Specified,,,404,Code Quality,The product does not release or incorrectly releases a resource before it is made available for re-use.,,,,,,Improper Resource Shutdown or Release,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,306,java.sql.DriverManager.getConnection,Not Mitigated,verademo.veracodegen.war,NONE,2,,,0,UserController.java,com/veracode/verademo/controller/UserController.java,,com/veracode/verademo/controller/UserController.java,,,,,,,,,,0,1,processRegister,processRegister,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,172,J2EE Bad Practices: Direct Management of Connections,Not Specified,,,245,API Abuse,"The J2EE application directly manages connections, instead of using the container's connection management facilities.",,,,,,J2EE Bad Practices: Direct Management of Connections,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,540,java.sql.DriverManager.getConnection,Not Mitigated,verademo.veracodegen.war,NONE,2,,,2,BlabController.java,com/veracode/verademo/controller/BlabController.java,,com/veracode/verademo/controller/BlabController.java,,,,,,,,,,0,1,processBlabbers,processBlabbers,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
1840724,VeraDemo-GithubApp,1.46121E+12,189,External Initialization of Trusted Variables or Data Stores,Not Specified,,,454,Untrusted Initialization,The product initializes critical internal variables or data stores using inputs that can be modified by untrusted actors.,,,,,,External Initialization of Trusted Variables or Data Stores,11:06.0,11:06.0,,Open,Static Analysis,yes,Policy,53,java.lang.Runtime.exec,Not Mitigated,verademo.veracodegen.war,NONE,4,,,0,ToolsController.java,com/veracode/verademo/controller/ToolsController.java,,com/veracode/verademo/controller/ToolsController.java,,,,,,,,,,0,1,ping,ping,,,,NONE,Unresolved,,29057923,,,,,,,,,,,,,,,,,,,,11:07.8,5642803,29057923,no,
